RunID,N,K,outLen,mode,padding,cval,time
SLURM_16327,14,46,14,same,zero,0,4.54e-06
SLURM_16328,14,47,14,same,zero,0,4.54e-06
SLURM_16329,14,48,14,same,zero,0,4.63e-06
SLURM_16330,14,49,14,same,zero,0,5.33e-06
SLURM_16331,14,50,14,same,zero,0,4.57e-06
SLURM_16332,14,51,14,same,zero,0,4.22e-06
SLURM_16333,14,52,14,same,zero,0,4.02e-06
SLURM_16334,14,53,14,same,zero,0,5.14e-06
SLURM_16335,14,54,14,same,zero,0,3.8e-06
SLURM_16336,14,55,14,same,zero,0,3.64e-06
SLURM_16337,14,56,14,same,zero,0,4.61e-06
SLURM_16338,14,57,14,same,zero,0,4.68e-06
SLURM_16339,14,58,14,same,zero,0,4.54e-06
SLURM_16340,14,59,14,same,zero,0,3.85e-06
SLURM_16341,14,60,14,same,zero,0,3.82e-06
SLURM_16342,14,61,14,same,zero,0,3.9e-06
SLURM_16343,14,62,14,same,zero,0,4.42e-06
SLURM_16344,14,63,14,same,zero,0,4.47e-06
SLURM_16345,14,64,14,same,zero,0,3.84e-06
SLURM_16346,14,65,14,same,zero,0,4.02e-06
SLURM_16347,14,66,14,same,zero,0,3.46e-06
SLURM_16348,14,67,14,same,zero,0,3.86e-06
SLURM_16349,14,68,14,same,zero,0,3.81e-06
SLURM_16350,14,69,14,same,zero,0,4.1e-06
SLURM_16351,14,70,14,same,zero,0,4.91e-06
SLURM_16352,14,71,14,same,zero,0,3.51e-06
SLURM_16353,14,72,14,same,zero,0,3.73e-06
SLURM_16354,14,73,14,same,zero,0,4.27e-06
SLURM_16355,14,74,14,same,zero,0,4.44e-06
SLURM_16356,14,75,14,same,zero,0,4.16e-06
SLURM_16357,14,76,14,same,zero,0,4.18e-06
SLURM_16358,14,77,14,same,zero,0,4.93e-06
SLURM_16359,14,78,14,same,zero,0,4.4e-06
SLURM_16360,14,79,14,same,zero,0,4.05e-06
SLURM_16361,14,80,14,same,zero,0,4.36e-06
SLURM_16362,14,81,14,same,zero,0,4.39e-06
SLURM_16363,14,82,14,same,zero,0,5.55e-06
SLURM_16364,14,83,14,same,zero,0,3.95e-06
SLURM_16365,14,84,14,same,zero,0,3.94e-06
SLURM_16366,14,85,14,same,zero,0,4.08e-06
SLURM_16367,14,86,14,same,zero,0,4.67e-06
SLURM_16368,14,87,14,same,zero,0,4.05e-06
SLURM_16369,14,88,14,same,zero,0,4.55e-06
SLURM_16370,14,89,14,same,zero,0,4.68e-06
SLURM_16371,14,90,14,same,zero,0,4.16e-06
SLURM_16372,14,91,14,same,zero,0,4.45e-06
SLURM_16373,14,92,14,same,zero,0,4.52e-06
SLURM_16374,14,93,14,same,zero,0,4.55e-06
SLURM_16375,14,94,14,same,zero,0,4.21e-06
SLURM_16376,14,95,14,same,zero,0,4.11e-06
SLURM_16377,14,96,14,same,zero,0,4.81e-06
SLURM_16378,14,97,14,same,zero,0,5.14e-06
SLURM_16379,14,98,14,same,zero,0,4.47e-06
SLURM_16380,14,99,14,same,zero,0,4.25e-06
SLURM_16381,14,100,14,same,zero,0,4.12e-06
SLURM_16382,15,11,15,same,zero,0,2.84e-06
SLURM_16383,15,12,15,same,zero,0,2.89e-06
SLURM_16384,15,13,15,same,zero,0,3.15e-06
SLURM_16385,15,14,15,same,zero,0,2.77e-06
SLURM_16386,15,15,15,same,zero,0,2.66e-06
SLURM_16387,15,16,15,same,zero,0,2.5e-06
SLURM_16388,15,17,15,same,zero,0,3.33e-06
SLURM_16389,15,18,15,same,zero,0,2.73e-06
SLURM_16390,15,19,15,same,zero,0,3.03e-06
SLURM_16391,15,20,15,same,zero,0,3.18e-06
SLURM_16392,15,21,15,same,zero,0,3.11e-06
SLURM_16393,15,22,15,same,zero,0,2.76e-06
SLURM_16394,15,23,15,same,zero,0,2.93e-06
SLURM_16395,15,24,15,same,zero,0,3.58e-06
SLURM_16396,15,25,15,same,zero,0,3.79e-06
SLURM_16397,15,26,15,same,zero,0,3.47e-06
SLURM_16398,15,27,15,same,zero,0,3.02e-06
SLURM_16399,15,28,15,same,zero,0,3.41e-06
SLURM_16400,15,29,15,same,zero,0,2.97e-06
SLURM_16401,15,30,15,same,zero,0,4.47e-06
SLURM_16402,15,31,15,same,zero,0,3.88e-06
SLURM_16403,15,32,15,same,zero,0,5.12e-06
SLURM_16404,15,33,15,same,zero,0,3.35e-06
SLURM_16405,15,34,15,same,zero,0,4.73e-06
SLURM_16406,15,35,15,same,zero,0,4.71e-06
SLURM_16407,15,36,15,same,zero,0,4.23e-06
SLURM_16408,15,37,15,same,zero,0,5.25e-06
SLURM_16409,15,38,15,same,zero,0,4.41e-06
SLURM_16410,15,39,15,same,zero,0,4.21e-06
SLURM_16411,15,40,15,same,zero,0,4.67e-06
SLURM_16412,15,41,15,same,zero,0,4.1e-06
SLURM_16413,15,42,15,same,zero,0,4.7e-06
SLURM_16414,15,43,15,same,zero,0,4.7e-06
SLURM_16415,15,44,15,same,zero,0,5.25e-06
SLURM_16416,15,45,15,same,zero,0,5.42e-06
SLURM_16417,15,46,15,same,zero,0,3.94e-06
SLURM_16418,15,47,15,same,zero,0,4.74e-06
SLURM_16419,15,48,15,same,zero,0,4.18e-06
SLURM_16420,15,49,15,same,zero,0,5.09e-06
SLURM_16421,15,50,15,same,zero,0,4.97e-06
SLURM_16422,15,51,15,same,zero,0,5.58e-06
SLURM_16423,15,52,15,same,zero,0,5.11e-06
SLURM_16424,15,53,15,same,zero,0,4.98e-06
SLURM_16425,15,54,15,same,zero,0,4.42e-06
SLURM_16426,15,55,15,same,zero,0,3.38e-06
